S2_over_A,budget,uniform_width,split_width,gain_pct,split_design
155,20000,4.336145798607651,4.277065904940948,1.3624978589436232,KT=250 nT=48 KC=10 nC=256
155,60000,3.902236346927769,3.880259841964411,0.5631771889127113,KT=250 nT=64 KC=183 nC=192
220,20000,4.666448120736433,4.616813883649889,1.0636406063529003,KT=202 nT=64 KC=10 nC=256
220,60000,4.023956030992974,3.9894829789769726,0.8566955441482338,KT=250 nT=64 KC=141 nC=256
52,20000,3.753689312245868,3.668587132284386,2.2671609950202343,KT=326 nT=32 KC=10 nC=256
52,60000,3.65223648793096,3.62661934319022,0.701409802607067,KT=1096 nT=32 KC=10 nC=256
