condition,method,reps,mean_cov,pr_cov_ge_90,width
api99_n2,CP_PAC,120,0.9885714285714287,1.0,88.10474061116165
api99_n2,FH_PAC,120,0.9673809523809525,0.9916666666666667,69.95516905931578
api99_n2,HetLDC,120,0.9745238095238095,0.9916666666666667,81.33595543272962
api99_n2,LDC_PAC,120,0.9823015873015872,1.0,82.00837594065729
api99_n3,CP_PAC,120,0.979920634920635,1.0,72.33453532198487
api99_n3,FH_PAC,120,0.9444444444444444,0.9083333333333333,58.59353876962631
api99_n3,HetLDC,120,0.9608730158730159,0.9416666666666667,64.79582362327768
api99_n3,LDC_PAC,120,0.9703968253968254,0.9833333333333333,68.3219122117138
socio_n2,CP_PAC,120,0.9834920634920634,1.0,168.1009415980228
socio_n2,FH_PAC,120,0.9576984126984127,0.975,140.03412640976958
socio_n2,HetLDC,120,0.9721428571428572,0.9833333333333333,153.87566429523835
socio_n2,LDC_PAC,120,0.977063492063492,0.9916666666666667,160.21815944769062
socio_n3,CP_PAC,120,0.9727777777777777,1.0,150.44308803859687
socio_n3,FH_PAC,120,0.9411111111111111,0.925,126.72803247590154
socio_n3,HetLDC,120,0.9614285714285714,0.9833333333333333,140.5765934173042
socio_n3,LDC_PAC,120,0.968015873015873,0.9833333333333333,146.04910074819512
