setting,shape,method,reps,mean_cov,pr_cov_ge_90,width
n23,laplace,CP_PAC,100,0.9685809850212196,1.0,4.97746471984053
n23,laplace,Dlow,100,0.9600957424944447,1.0,4.655274022864114
n23,laplace,Oracle,100,0.9541582558990982,0.98,4.472299129804289
n23,laplace,Oracle04,100,0.9559865722114604,0.98,4.53104400870766
n23,laplace,Plug,100,0.9542994026435013,0.99,4.473303307391316
n23,laplace,S,100,0.9603462231692405,1.0,4.6645752789364705
n23,laplace,S_cert,30,0.9603428496997881,1.0,4.659544665529946
n23,normal,CP_PAC,100,0.9840067349489836,1.0,4.9500202119605055
n23,normal,Dlow,100,0.9747586020873533,1.0,4.626910799831624
n23,normal,Oracle,100,0.9676446342713083,0.98,4.441419127606653
n23,normal,Oracle04,100,0.9697939167656964,0.98,4.49998164714896
n23,normal,Plug,100,0.9677357065595329,0.96,4.444839207323399
n23,normal,S,100,0.9750297796740606,1.0,4.6361553860711915
n23,normal,S_cert,30,0.9732445037297843,1.0,4.587752940934168
n23,trunc_laplace,CP_PAC,100,0.9854900962093445,1.0,4.944257995289909
n23,trunc_laplace,Dlow,100,0.97076739161057,0.98,4.614559343420304
n23,trunc_laplace,Oracle,100,0.9612913489476388,0.97,4.4367166906457
n23,trunc_laplace,Oracle04,100,0.9643567327734175,0.97,4.495202989789599
n23,trunc_laplace,Plug,100,0.9606775769233448,0.97,4.429061616230328
n23,trunc_laplace,S,100,0.9711839855841753,0.98,4.623779251400678
n23,trunc_laplace,S_cert,30,0.9768114236386273,1.0,4.732812145568261
n23_het,laplace,CP_PAC,100,0.9711763855815088,1.0,5.168141009414021
n23_het,laplace,Dlow,100,0.9632150707326019,0.99,4.8546253870477525
n23_het,laplace,Oracle,100,0.9576089447678237,0.99,4.66952050539688
n23_het,laplace,Oracle04,100,0.959256238670268,0.99,4.727232875839013
n23_het,laplace,Plug,100,0.957695610707336,0.99,4.675070549218543
n23_het,laplace,S,100,0.9634479167171274,0.99,4.864324947941165
n23_het,laplace,S_cert,30,0.96103230292879,1.0,4.785783670433588
n23_het,normal,CP_PAC,100,0.9841421500294342,1.0,4.9351829257049555
n23_het,normal,Dlow,100,0.9746034952617283,1.0,4.604637072084544
n23_het,normal,Oracle,100,0.9678632250212752,1.0,4.416691748872582
n23_het,normal,Oracle04,100,0.9699551708380553,1.0,4.473127372348554
n23_het,normal,Plug,100,0.9673034940963992,0.98,4.4177878894609535
n23_het,normal,S,100,0.9748787858103165,1.0,4.613837155327198
n23_het,normal,S_cert,30,0.9787330230563225,1.0,4.719106807734665
n23_het,trunc_laplace,CP_PAC,100,0.9869275491496852,1.0,5.006593282928375
n23_het,trunc_laplace,Dlow,100,0.9732794925265825,0.99,4.675307043822629
n23_het,trunc_laplace,Oracle,100,0.9641451235611151,0.97,4.496736720667872
n23_het,trunc_laplace,Oracle04,100,0.9670321317189134,0.98,4.553593163893357
n23_het,trunc_laplace,Plug,100,0.9636220059809207,0.97,4.488829045655545
n23_het,trunc_laplace,S,100,0.9736687281585904,0.99,4.684648325950793
n23_het,trunc_laplace,S_cert,30,0.9719563961472828,1.0,4.679594644499082
n510,laplace,CP_PAC,100,0.970377217222002,1.0,5.096296687853339
n510,laplace,Dlow,100,0.9606297648870772,0.99,4.7261061945810585
n510,laplace,Oracle,100,0.9568316283840708,0.98,4.601975071167273
n510,laplace,Oracle04,100,0.9585611974765712,0.99,4.661389945981992
n510,laplace,Plug,100,0.9567910002958733,0.98,4.602035283741867
n510,laplace,S,100,0.960875316426942,0.99,4.735548973615128
n510,laplace,S_cert,30,0.9559367683445937,0.9666666666666667,4.5743255959419065
n510,normal,CP_PAC,100,0.983931379705696,1.0,4.899481947821754
n510,normal,Dlow,100,0.9725398705219935,0.99,4.511263222334572
n510,normal,Oracle,100,0.9677978211079044,0.99,4.386946308070996
n510,normal,Oracle04,100,0.9699685299351932,0.99,4.44494842277973
n510,normal,Plug,100,0.9676455122559379,0.99,4.383964496402353
n510,normal,S,100,0.9728335124895574,0.99,4.520276744252861
n510,normal,S_cert,30,0.9765081220834001,1.0,4.627113680613077
n510,trunc_laplace,CP_PAC,100,0.9851895592902692,1.0,4.923279603856836
n510,trunc_laplace,Dlow,100,0.9669395653584322,1.0,4.534864630663327
n510,trunc_laplace,Oracle,100,0.9602981233844929,0.98,4.412802705985782
n510,trunc_laplace,Oracle04,100,0.9634133854176189,0.99,4.470989964896848
n510,trunc_laplace,Plug,100,0.9599067719502858,0.96,4.407182409197891
n510,trunc_laplace,S,100,0.9673851667676422,1.0,4.543925308289629
n510,trunc_laplace,S_cert,30,0.9697236321670548,1.0,4.579784768076437
