x,R,beta,length,dirac,R_DE
0.156,0.836720403405272,1.4007449219678465,1.4827921505780741,0.49365236554445097,0.8367204034052714
0.161,0.828153882696042,1.4233874075329258,1.4669579852550199,0.48553557992579743,0.8281538826960402
0.166,0.8193834601599588,1.4461894142725205,1.4508415569066409,0.47752245773169355,0.8193834601599554
0.171,0.8104071339184191,1.4692326826611886,1.4344311464854616,0.4696033915934778,0.8104071339184187
0.176,0.8012226516220015,1.4925987848212636,1.4177154062271573,0.46176877976154945,0.8012226516219997
0.181,0.7918274715412381,1.5163693954111392,1.4006830414364941,0.45400899729276933,0.7918274715412371
0.186,0.7822187215710651,1.5406280024842987,1.383323002285776,0.44631437326065576,0.7822187215710649
0.191,0.7723931558437165,1.5654594804157287,1.365623978232265,0.43867517177844,0.7723931558438619
0.196,0.7623471084634685,1.5909520313542143,1.3475745688882679,0.43108157485285714,0.7623471084634901
0.201,0.7520764437028293,1.6171974118965566,1.3291629223957082,0.4235236652813965,0.7520764437028291
0.206,0.7415765018235998,1.6442922115019727,1.3103766084271709,0.41599140799294293,0.741576501823598
0.211,0.7308420394968929,1.6723391252101636,1.2912026761971307,0.4084746283988554,0.7308420394968906
0.216,0.7198671635816261,1.7014482184698945,1.2716272802343216,0.4009629864129915,0.7198671635817351
0.221,0.7086452567674025,1.7317386145651166,1.2516354747427219,0.3934459448875468,0.7086452567674013
0.226,0.6971688932784184,1.7633402194651653,1.2312113927229624,0.3859127311852304,0.6971688932784181
0.231,0.6854297424494697,1.796395918980021,1.2103376233163354,0.37835229054537906,0.685429742449467
0.236,0.6734184574966087,1.8310642108719772,1.1889953118817274,0.3707532297374322,0.6734184574966047
0.241,0.6611245461782748,1.8675221542443208,1.167163766513359,0.3631037492351751,0.6611245461782619
0.246,0.6485362192301449,1.905968718061349,1.1448202244042713,0.3553915617616828,0.6485362192300866
0.251,0.6356402113928733,1.946630125730357,1.1219395362681774,0.34760379451894474,0.6356402113929372
0.256,0.6224215684444729,1.9897650555937598,1.09849376347272,0.33972687166988097,0.6224215684444717
0.261,0.6088633917679398,2.0356708190000887,1.0744518094857356,0.3317463726500047,0.6088633917679384
0.266,0.5949465294418463,2.084693025126249,1.0497787067866597,0.3236468604908708,0.5949465294418453
0.271,0.5806491993615468,2.137236003986363,1.024435072999258,0.31541167246721313,0.5806491993615441
0.276,0.5659465250714903,2.19377819895973,0.998376414702446,0.30702266274959733,0.5659465250714891
0.281,0.5508099581934488,2.2548886634038325,0.9715518040307803,0.2984598830576714,0.5508099581934304
0.286,0.5352065516105378,2.321253900896086,0.9439028714905057,0.2897011820340812,0.5352065516105368
0.291,0.5190980333964521,2.3937095587702824,0.9153621354224218,0.2807216963722971,0.5190980333964469
0.296,0.5024396104109842,2.473286088117333,0.8858508075335303,0.2714931953378915,0.5024396104109589
0.301,0.4851783984476635,2.561271878889528,0.8552761443191469,0.2619832229490906,0.48517839844766
0.306,0.4672513258617821,2.659302911616733,0.8235277037800104,0.2521539550907445,0.4672513258617771
0.311,0.44858227744126433,2.7694938801905282,0.790472485024024,0.24196064544800958,0.44858227744125956
0.316,0.42907811237229493,2.8946360239027094,0.7559477489876448,0.23134946229458137,0.42907811237229243
0.321,0.40862296133982673,3.0385010192828474,0.7197512923844638,0.22025439447528536,0.4086229613398239
0.326,0.38706979620283155,3.2063375460386245,0.6816262654797102,0.20859268246452037,0.38706979620282883
0.331,0.3642274857615956,3.4057051256491317,0.6412390186676584,0.19625780892976333,0.36422748576165886
0.336,0.3398399778108963,3.647974870507345,0.5981421401330008,0.18310823317977074,0.33983997781089365
0.341,0.3135508195602721,3.951211873101444,0.5517125394812713,0.16894820199672272,0.3135508195601781
0.346,0.2848379930605285,4.346284500552368,0.5010371424863449,0.1534925211916923,0.28483799306052565
0.351,0.25288154325836865,4.891506124284511,0.44468045600149003,0.13629502177651087,0.2528815432583562
0.356,0.2162529248796921,5.7148894797859375,0.3801400202696009,0.1165807394948845,0.21625292487968764
0.361,0.17199808770448977,7.178316239715973,0.30223683245597366,0.09275073376040337,0.17199808770441488
0.366,0.11137725314535749,11.073709201961274,0.19563834524349852,0.06008205036932742,0.1113772531453504
0.371,-inf,,,-inf,0.0
