x,R,beta,length,dirac,R_DE
1e-06,1.0000190618170843,44.286052782634584,2.9115188110003847,0.9987184484344555,
1e-05,1.000060278758321,14.004472495590385,2.0225233906386633,0.9959473781139245,
0.0001,1.000190583675824,4.429091863865934,1.9928167791328546,0.9871844843443442,
0.0005,1.0004152397558495,1.9672762941354969,1.9837845202380182,0.9713436358277024,
0.001,1.0005468805229507,1.3447982374000478,1.976748931823884,0.959473781139245,1.0269744795167957
0.002,1.0006329554554232,0.8545389885230096,1.966402565811477,0.9426872716553482,
0.005,1.000294811336305,0.3271118267887586,1.944622850121512,0.9093806197563177,
0.006,1.0000690425018766,0.23277543658094327,1.9387090764065809,0.9007314425867944,1.0000690425018814
0.008,0.9995043231115206,0.08881892193625439,1.9279518084351384,0.8853745433108398,
0.011,0.9984361413067271,0.06510905737576081,1.9136060741794143,0.8655897378670528,0.9984361413067209
0.016,0.9962137518444101,0.2413839413173693,1.892585680915187,0.837895124556986,0.996213751844412
0.021,0.9935639875747608,0.36764489324079475,1.8737645409120143,0.8142855344402431,0.9935639875747622
0.026,0.9905662952452498,0.4666834137049798,1.8563477370954924,0.7933560192167031,0.9905662952452496
0.031,0.9872677644696927,0.5486224488162638,1.8399087022816638,0.7743595628668383,0.9872677644696962
0.036,0.9836993069336959,0.6188286929578183,1.824186286482229,0.7568426868359699,0.9836993069336943
0.041,0.9798825258373547,0.6804847340583012,1.8090060712349758,0.7405055857611915,0.9798825258373555
0.046,0.9758331433912,0.7356313490327321,1.794244117801437,0.7251378107180037,0.9758331433911999
0.051,0.9715629051192362,0.7856541062635277,1.7798082915753468,0.7105849085264315,0.971562905119236
0.056,0.9670807227547732,0.8315365548352435,1.765627224293322,0.6967295476827714,0.967080722754773
0.061,0.9623934012176283,0.8740018182188559,1.7516441493353383,0.6834801122704887,0.9623934012176281
0.066,0.9575061228323755,0.9135964867335209,1.7378123698993961,0.670763441523036,0.9575061228323746
0.071,0.9524227831142762,0.950744386072526,1.724092852307604,0.6585200097715802,0.9524227831142698
0.076,0.9471462335278321,0.9857809512643544,1.7104517334034401,0.6467006130171887,0.9471462335278202
0.081,0.9416784658147735,1.018976756413048,1.6968589937362997,0.6352640228319788,0.9416784658147455
0.086,0.9360207600449251,1.0505552656661707,1.6832875481307485,0.6241752817158832,0.9360207600448581
0.091,0.9301738100885518,1.0807045568696414,1.669711831299923,0.6134044351655329,0.9301738100884179
0.096,0.9241378340271602,1.1095870152232452,1.6561075688996134,0.6029255674515674,0.9241378340272718
0.101,0.9179126726121128,1.1373461379738317,1.6424511936955208,0.5927160523436289,0.9179126726121125
0.106,0.9114978761114985,1.1641116649566634,1.628719911644219,0.582755958404983,0.9114978761114969
0.111,0.9048927785677989,1.1900033886297252,1.6148913628227566,0.5730275673578267,0.9048927785677994
0.116,0.8980965582827511,1.2151335027719137,1.600943952417731,0.5635149769294283,0.8980965582827501
0.121,0.8911082838280632,1.2396086241732982,1.5868567396232602,0.5542037685512397,0.891108283828063
0.126,0.8839269456523171,1.2635308034822534,1.5726098531156587,0.5450807265139507,0.8839269456523169
0.131,0.8765514741167244,1.2869983955441644,1.5581843138185525,0.5361335994113676,0.8765514741167221
0.136,0.8689807453716929,1.3101062949611573,1.543562414480281,0.5273508975199418,0.8689807453716922
0.141,0.8612135768181062,1.332946723505064,1.5287273585496632,0.5187217214967703,0.8612135768181034
0.146,0.8532487139926678,1.3556088656838607,1.5136635504421532,0.5102356188032826,0.8532487139926664
0.151,0.8450848106257949,1.3781799312727987,1.4983563893715897,0.5018824647810536,0.8450848106257949
