condition,method,reps,mean_cov,sd_cov,sd_cov_minus_eval_noise,pr_cov_ge_90,q05_cov,width
api99_n2,CP_PAC,1000,0.9886476190476192,0.011674491597989698,0.00554075569775834,1.0,0.9714285714285714,85.14817644147202
api99_n2,CP_k102,1000,0.9796952380952382,0.01664796673831,0.009504711978080243,1.0,0.9523809523809523,74.8371544446179
api99_n2,FH_PAC,1000,0.9696857142857143,0.021572304495286018,0.013778113386270802,0.993,0.9333333333333333,69.92481245615986
api99_n2,FH_boot,1000,0.9379333333333334,0.03469986111702291,0.025712127708700468,0.856,0.8761904761904762,59.881736463049954
api99_n2,FH_normal,1000,0.9383904761904763,0.03232285763050733,0.02245216717506754,0.879,0.8761904761904762,59.5777705514332
api99_n2,LDC_PAC,1000,0.9815142857142859,0.01856365727102389,0.013232088016070037,0.995,0.9428571428571428,78.9607621040422
api99_n2,LDC_k102,1000,0.9609047619047619,0.033029915668535505,0.02726859233844581,0.954,0.9047619047619048,66.73022578537841
api99_n2,noisy_CP,1000,0.9723809523809525,0.019791013142535452,0.011816815224877257,0.995,0.9333333333333333,70.22021009360103
api99_n3,CP_PAC,1000,0.9807809523809524,0.017070983958848283,0.010708427053630572,0.997,0.9523809523809523,74.17161818289983
api99_n3,CP_k102,1000,0.9664857142857143,0.023533147837515925,0.015830087934267767,0.986,0.9238095238095239,65.62143410945329
api99_n3,FH_PAC,1000,0.9478571428571428,0.030644962341166197,0.021848206918896176,0.932,0.8857142857142857,59.54889346606874
api99_n3,FH_boot,1000,0.9034857142857144,0.04341941092697188,0.03275229288715143,0.571,0.819047619047619,50.72546984824611
api99_n3,FH_normal,1000,0.9039428571428573,0.04084703948672218,0.02928141140367172,0.588,0.8285714285714286,50.56818546501934
api99_n3,LDC_PAC,1000,0.9743238095238096,0.02276827824556592,0.0168840229574874,0.99,0.9333333333333333,70.42284986551557
api99_n3,LDC_k102,1000,0.9498380952380954,0.034188483291962085,0.02694818597912059,0.914,0.8857142857142857,60.71916129122462
api99_n3,noisy_CP,1000,0.9549428571428573,0.02766018951157498,0.019041649354268005,0.96,0.9047619047619048,61.55692396297413
socio_n2,CP_PAC,1000,0.9826095238095238,0.01666199876069999,0.010840676633169224,0.998,0.9523809523809523,170.83540322784853
socio_n2,CP_k102,1000,0.9690380952380954,0.023176187875430933,0.01601564122357738,0.986,0.9238095238095239,149.53155706448328
socio_n2,FH_PAC,1000,0.9601333333333334,0.02685875942003714,0.01907119906718751,0.963,0.9047619047619048,141.63837059691565
socio_n2,FH_boot,1000,0.9219428571428573,0.042208020887401394,0.03336305314100064,0.734,0.8380952380952381,122.29454135835898
socio_n2,FH_normal,1000,0.9239619047619049,0.03966880242703122,0.030322896423865396,0.766,0.8476190476190476,122.08616759408649
socio_n2,LDC_PAC,1000,0.9769238095238096,0.02219988458735808,0.016817316494834735,0.99,0.9333333333333333,162.9537474136483
socio_n2,LDC_k102,1000,0.9546857142857145,0.0346209151925032,0.028248948342328196,0.931,0.8857142857142857,139.2984697365146
socio_n2,noisy_CP,1000,0.9582,0.02743448510485359,0.019451402320283567,0.971,0.9047619047619048,139.91460722732484
socio_n3,CP_PAC,1000,0.9748666666666668,0.01923894330935952,0.01184523073734978,0.998,0.9333333333333333,152.13819267022836
socio_n3,CP_k102,1000,0.9563714285714287,0.028207541828079885,0.02014580642764038,0.959,0.9047619047619048,135.29731758492784
socio_n3,FH_PAC,1000,0.9438761904761904,0.031859586697838276,0.022807388836461072,0.905,0.8857142857142857,127.3886112474998
socio_n3,FH_boot,1000,0.8980000000000001,0.04763325018193464,0.037658609652448154,0.523,0.8095238095238095,110.13585377961596
socio_n3,FH_normal,1000,0.9007428571428573,0.04446886624481349,0.03383513909862704,0.553,0.819047619047619,110.02557988527606
socio_n3,LDC_PAC,1000,0.9698952380952381,0.02403974496348366,0.017473611858111297,0.985,0.9238095238095239,147.76712615476444
socio_n3,LDC_k102,1000,0.9453238095238096,0.035491759839298094,0.027917655688823,0.897,0.8761904761904762,129.61847891797046
socio_n3,noisy_CP,1000,0.9421714285714287,0.033184643823085246,0.02434745573973074,0.883,0.8761904761904762,126.93089336561303
