q,x,R
0.8,0.00010000000000000009,1.0004607303611281
0.8,0.00013301714391945177,1.0005313744148987
0.8,0.000176935605764881,1.0006128503311964
0.8,0.00023535468936502536,1.0007068186683674
0.8,0.00031306208587385416,1.000815192728943
0.8,0.00041642624532406153,1.0009401694946671
0.8,0.0005539182980610753,1.0010842443023147
0.8,0.0007368062997280776,1.0012501741496544
0.8,0.0009800786961168834,1.001440830098263
0.8,0.001303672689737679,1.0016588643606894
0.8,0.0017341081779469534,1.0019061180318871
0.8,0.0023066611707786796,1.0021826904332969
0.8,0.0030682548092687825,1.0024855480094073
0.8,0.004081304915460549,1.0028064576282916
0.8,0.005428835233189814,1.0031288934026845
0.8,0.0072212815752819935,1.0034233834594515
0.8,0.009605542505821687,1.0036405010974705
0.8,0.012777018299212925,1.0037003052068048
0.8,0.01699562481967873,1.0034764090498736
0.8,0.022607094726402082,1.0027718623357496
0.8,0.030071311728225025,1.0012824258716961
0.8,0.04000000000000001,0.9985401665043502
0.85,0.00010000000000000009,1.0003158710270692
0.85,0.00013301714391945177,1.0003643028213285
0.85,0.000176935605764881,1.0004201559831642
0.85,0.00023535468936502536,1.0004845511511495
0.85,0.00031306208587385416,1.0005587373277416
0.85,0.00041642624532406153,1.000644040562274
0.85,0.0005539182980610753,1.0007417389825553
0.85,0.0007368062997280776,1.0008528318346859
0.85,0.0009800786961168834,1.0009776696055068
0.85,0.001303672689737679,1.0011153987272496
0.85,0.0017341081779469534,1.0012631405295829
0.85,0.0023066611707786796,1.0014147722184914
0.85,0.0030682548092687825,1.0015591084337592
0.85,0.004081304915460549,1.0016771860410243
0.85,0.005428835233189814,1.0017382129261587
0.85,0.0072212815752819935,1.001693524556648
0.85,0.009605542505821687,1.0014675553582202
0.85,0.012777018299212925,1.000944302582234
0.85,0.01699562481967873,0.9999469136201105
0.85,0.022607094726402082,0.9982066429759587
0.85,0.030071311728225025,0.9953150964033075
0.85,0.04000000000000001,0.9906496237513268
0.9,0.00010000000000000009,1.000190583675824
0.9,0.00013301714391945177,1.0002197164741164
0.9,0.000176935605764881,1.000253139674
0.9,0.00023535468936502536,1.0002912643117305
0.9,0.00031306208587385416,1.0003343315309572
0.9,0.00041642624532406153,1.0003822481415623
0.9,0.0005539182980610753,1.0004343441379955
0.9,0.0007368062997280776,1.0004890158044708
0.9,0.0009800786961168834,1.0005431984766262
0.9,0.001303672689737679,1.0005915870899986
0.9,0.0017341081779469534,1.0006254859974517
0.9,0.0023066611707786796,1.0006311154766334
0.9,0.0030682548092687825,1.0005871212950566
0.9,0.004081304915460549,1.000460911134123
0.9,0.005428835233189814,1.000203254436898
0.9,0.0072212815752819935,0.9997402922719482
0.9,0.009605542505821687,0.998961646904868
0.9,0.012777018299212925,0.9977025852682799
0.9,0.01699562481967873,0.9957169766221057
0.9,0.022607094726402082,0.9926357144619969
0.9,0.030071311728225025,0.987901607862603
0.9,0.04000000000000001,0.9806649268476868
0.95,0.00010000000000000009,1.00008165233248
0.95,0.00013301714391945177,1.0000921347411007
0.95,0.000176935605764881,1.0001027043719148
0.95,0.00023535468936502536,1.0001124827074939
0.95,0.00031306208587385416,1.000120025731968
0.95,0.00041642624532406153,1.0001230490427995
0.95,0.0005539182980610753,1.0001180300470829
0.95,0.0007368062997280776,1.0000996337489787
0.95,0.0009800786961168834,1.0000598850616587
0.95,0.001303672689737679,0.9999869760717699
0.95,0.0017341081779469534,0.999863545782615
0.95,0.0023066611707786796,0.9996641940293175
0.95,0.0030682548092687825,0.9993518769372063
0.95,0.004081304915460549,0.9988726564607878
0.95,0.005428835233189814,0.9981480046110311
0.95,0.0072212815752819935,0.9970634313212885
0.95,0.009605542505821687,0.9954515028561421
0.95,0.012777018299212925,0.9930661418732503
0.95,0.01699562481967873,0.9895430596526155
0.95,0.022607094726402082,0.9843374713614363
0.95,0.030071311728225025,0.9766231627484185
0.95,0.04000000000000001,0.9651224503339901
