shape,seed,method,centre,half,cert_tol,cov
gamma2_skew,42000,CP_PAC,0.0,2.2472388429924086,0.001,0.9651627760529732
gamma2_skew,42000,FH_PAC,-0.1160270394992136,1.6610677265746705,0.001,0.921073976642946
gamma2_skew,42000,FH_normal,-0.1160270394992136,1.3444402990091002,0.001,0.8871599873016982
gamma2_skew,42000,HetLDC,0.0,1.9567320782048996,0.001,0.9509563188434824
gamma2_skew,42000,HetLDC_cert,0.0,1.958688810283104,0.001,0.9510683796076445
gamma2_skew,42000,LDC_PAC,0.0,2.033510200740886,0.001,0.9551742474458976
gamma2_skew,42000,LDC_cert_pk,0.0,1.968323681525305,,0.9516166012164695
gamma2_skew,42001,CP_PAC,0.0,2.7887062772540734,0.003,0.9817934395386456
gamma2_skew,42001,FH_PAC,-0.0573434069529717,2.205793361572092,0.003,0.960845246338482
gamma2_skew,42001,FH_normal,-0.0573434069529717,1.8500396292987016,0.003,0.9406389872512252
gamma2_skew,42001,HetLDC,0.0,2.564360541186548,0.003,0.9761380139425132
gamma2_skew,42001,HetLDC_cert,0.0,2.5720536228101074,0.003,0.9763574637688536
gamma2_skew,42001,LDC_PAC,0.0,2.656027393870577,0.003,0.9786292229011604
gamma2_skew,42001,LDC_cert_pk,0.0,2.5806563709151527,,0.9766005474325808
gamma2_skew,42002,CP_PAC,0.0,2.661611618537746,0.001,0.9787725456535366
gamma2_skew,42002,FH_PAC,-0.1135497199528742,2.1775909136686824,0.001,0.9567530414285476
gamma2_skew,42002,FH_normal,-0.1135497199528742,1.8267332903636748,0.001,0.9349236303378012
gamma2_skew,42002,HetLDC,0.0,2.3819519371564715,0.001,0.9703178919767016
gamma2_skew,42002,HetLDC_cert,0.0,2.3843338890936274,0.001,0.9704020633754288
gamma2_skew,42002,LDC_PAC,0.0,2.4757614201912124,0.001,0.9734641885912918
gamma2_skew,42002,LDC_cert_pk,0.0,2.394489795674332,,0.9707583656144029
gamma2_skew,42003,CP_PAC,0.0,2.5184422126875514,0.003,0.9747865665037148
gamma2_skew,42003,FH_PAC,-0.0661824796442343,2.257522614153331,0.003,0.9627794538288318
gamma2_skew,42003,FH_normal,-0.0661824796442343,1.857403167573592,0.003,0.9405374131535544
gamma2_skew,42003,HetLDC,0.0,2.257522443432828,0.003,0.9655849317844194
gamma2_skew,42003,HetLDC_cert,0.0,2.2642950107631266,0.003,0.9658602599376246
gamma2_skew,42003,LDC_PAC,0.0,2.342588988463423,0.003,0.9688930065196214
gamma2_skew,42003,LDC_cert_pk,0.0,2.268927965400472,,0.9660473822714692
gamma2_skew,42004,CP_PAC,0.0,2.359831336162167,0.001,0.9695250975766064
gamma2_skew,42004,FH_PAC,0.0712386243293807,1.9624027342137615,0.001,0.9551811464094092
gamma2_skew,42004,FH_normal,0.0712386243293807,1.6186447381496352,0.001,0.933152228190129
gamma2_skew,42004,HetLDC,0.0,2.1049673952197767,0.001,0.9587859410333154
gamma2_skew,42004,HetLDC_cert,0.0,2.1070723626149963,0.001,0.9588879813593894
gamma2_skew,42004,LDC_PAC,0.0,2.1808094196703243,0.001,0.9623132412914234
gamma2_skew,42004,LDC_cert_pk,0.0,2.1170623536604634,,0.9593689589051229
gamma2_skew,42005,CP_PAC,0.0,2.2122594322657845,0.001,0.9636891891974187
gamma2_skew,42005,FH_PAC,-0.0329349191488982,1.707348491173516,0.001,0.9319509840042726
gamma2_skew,42005,FH_normal,-0.0329349191488982,1.3700754387530856,0.001,0.8999777462363674
gamma2_skew,42005,HetLDC,0.0,1.905972793133909,0.001,0.9479621796968158
gamma2_skew,42005,HetLDC_cert,0.0,1.9078787659270424,0.001,0.948077694970816
gamma2_skew,42005,LDC_PAC,0.0,1.986822582146454,0.001,0.9526527608302104
gamma2_skew,42005,LDC_cert_pk,0.0,1.915591824546516,,0.9485426650920291
gamma2_skew,42006,CP_PAC,0.0,2.412860784327735,0.001,0.9713923854887678
gamma2_skew,42006,FH_PAC,0.0167572441513229,1.854340927333118,0.001,0.9458047292009152
gamma2_skew,42006,FH_normal,0.0167572441513229,1.4958319397901283,0.001,0.9180987867474584
gamma2_skew,42006,HetLDC,0.0,2.161943850948177,0.001,0.9614639589199484
gamma2_skew,42006,HetLDC_cert,0.0,2.1641057947991253,0.001,0.9615622096326571
gamma2_skew,42006,LDC_PAC,0.0,2.2443799089713807,0.001,0.965044530070776
gamma2_skew,42006,LDC_cert_pk,0.0,2.171901072592936,,0.961914475320449
gamma2_skew,42007,CP_PAC,0.0,2.7192495199744573,0.003,0.980198419201236
gamma2_skew,42007,FH_PAC,0.0494374187111082,2.2274846202749914,0.003,0.9663679378085124
gamma2_skew,42007,FH_normal,0.0494374187111082,1.857870143871272,0.003,0.9480431017695352
gamma2_skew,42007,HetLDC,0.0,2.5062728693483654,0.003,0.9744161653016046
gamma2_skew,42007,HetLDC_cert,0.0,2.51379168795641,0.003,0.974645634084579
gamma2_skew,42007,LDC_PAC,0.0,2.5898751957962323,0.003,0.9768583517582708
gamma2_skew,42007,LDC_cert_pk,0.0,2.5190472601861402,,0.9748048464218784
gamma2_skew,42008,CP_PAC,0.0,2.18971927354281,0.001,0.962708058403427
gamma2_skew,42008,FH_PAC,0.1263032083616755,2.0115089283617555,0.001,0.9603507731659416
gamma2_skew,42008,FH_normal,0.1263032083616755,1.6673610156290068,0.001,0.94070553368272
gamma2_skew,42008,HetLDC,0.0,1.8893225172007884,0.001,0.9469425714426284
gamma2_skew,42008,HetLDC_cert,0.0,1.891211839717989,0.001,0.947059219203786
gamma2_skew,42008,LDC_PAC,0.0,1.966579343174204,0.001,0.9515177862056912
gamma2_skew,42008,LDC_cert_pk,0.0,1.8970796549444684,,0.9474199428919227
gamma2_skew,42009,CP_PAC,0.0,2.4893993300578376,0.001,0.973893860128809
gamma2_skew,42009,FH_PAC,-0.0644891365233382,2.0323468705480434,0.001,0.9515902246283712
gamma2_skew,42009,FH_normal,-0.0644891365233382,1.627998328715217,0.001,0.9227213878991188
gamma2_skew,42009,HetLDC,0.0,2.1953991530243533,0.001,0.9629576686124331
gamma2_skew,42009,HetLDC_cert,0.0,2.197594552177377,0.001,0.9630537173250178
gamma2_skew,42009,LDC_PAC,0.0,2.2690822021411057,0.001,0.9660535947822084
gamma2_skew,42009,LDC_cert_pk,0.0,2.2012168158306706,,0.9632116679932649
gamma2_skew,42010,CP_PAC,0.0,2.6165624747451384,0.001,0.977589242170924
gamma2_skew,42010,FH_PAC,-0.1322572732777625,1.9457272576777425,0.001,0.9420516197286531
