shape,seed,rule,nu,alpha,half,cov
normal,300010,H,2.0,9e-05,3.4228086067324406,0.9993802230021764
normal,300010,H,2.0,0.001,3.3198459301356635,0.9990993286004028
normal,300010,H,2.0,0.005,3.1972713151395,0.9986126563199438
normal,300010,H,10.0,9e-05,2.7481047555486877,0.9940059145216038
normal,300010,H,10.0,0.001,2.665145878675417,0.992304506741482
normal,300010,H,10.0,0.005,2.611213048077105,0.9909778331878976
normal,300010,H,50.0,9e-05,2.4516623783570033,0.9857801987481467
normal,300010,H,50.0,0.001,2.4271474553577703,0.9847819307764707
normal,300010,H,50.0,0.005,2.4173414861580773,0.9843656580694211
normal,300010,H,200.0,9e-05,2.32908776336084,0.9801455831952712
normal,300010,H,200.0,0.001,2.3194295062843824,0.9796282406902752
normal,300010,H,200.0,0.005,2.32908776336084,0.9801455831952712
normal,300010,H,1000.0,9e-05,2.268226954419806,0.9766846226090988
normal,300010,H,1000.0,0.001,2.268226954419806,0.9766846226090988
normal,300010,H,1000.0,0.005,2.2829359082193457,0.9775658560615856
normal,300012,CP,,,2.4184410107730465,0.9844128273593593
normal,300012,Oracle,,,2.1844621189047913,0.9710716920749627
normal,300012,H,2.0,9e-05,3.381498806191927,0.9992790845391055
normal,300012,H,2.0,0.001,3.2895980477825617,0.9989966940563522
normal,300012,H,2.0,0.005,3.173512879265468,0.9984939378025743
normal,300012,H,10.0,9e-05,2.7013807405648484,0.9930947760255182
normal,300012,H,10.0,0.001,2.6147034423836244,0.9910695041988875
normal,300012,H,10.0,0.005,2.566334622168169,0.9897220376820652
normal,300012,H,50.0,9e-05,2.4089350321472516,0.9840008542438472
normal,300012,H,50.0,0.001,2.384750622039524,0.9829092976770952
normal,300012,H,50.0,0.005,2.379913740017978,0.9826833088689908
normal,300012,H,200.0,9e-05,2.2976867456517036,0.9784203755295626
normal,300012,H,200.0,0.001,2.2881587022607364,0.9778717192790571
normal,300012,H,200.0,0.005,2.292995584282282,0.9781517408233653
normal,300012,H,1000.0,9e-05,2.232809586817374,0.9744384961838974
normal,300012,H,1000.0,0.001,2.2376464688389195,0.974755881313526
normal,300012,H,1000.0,0.005,2.2473202328820108,0.9753804312751815
normal,300003,CP,,,2.6089117025917288,0.9909169323853373
normal,300003,Oracle,,,2.4027844896527424,0.9837292268728857
normal,300003,H,2.0,9e-05,3.6634711215355393,0.9997511797194265
normal,300003,H,2.0,0.001,3.553896830026699,0.999620431917402
normal,300003,H,2.0,0.005,3.4077977746815784,0.9993451059025615
normal,300003,H,10.0,9e-05,2.92457074285837,0.9965506833226083
normal,300003,H,10.0,0.001,2.8362847691617388,0.9954358269976165
normal,300003,H,10.0,0.005,2.78410653510991,0.9946324599181853
normal,300003,H,50.0,9e-05,2.619528349201866,0.9911948546240485
normal,300003,H,50.0,0.001,2.5934392321759514,0.990497867033894
normal,300003,H,50.0,0.005,2.5830035853655855,0.990205569487393
normal,300003,H,200.0,9e-05,2.509954057693025,0.9879253130114112
normal,300003,H,200.0,0.001,2.499518410882659,0.987563776304232
normal,300003,H,200.0,0.005,2.5047362342878423,0.9877457258936602
normal,300003,H,1000.0,9e-05,2.4451851507376925,0.9855222203703085
normal,300003,H,1000.0,0.001,2.4451851507376925,0.9855222203703085
normal,300003,H,1000.0,0.005,2.460838620953241,0.9861387301125231
normal,300008,CP,,,2.295091164789143,0.9782720996870504
