condition,method,lam_mean,width_mean_matched,sd_cov_mean_matched,share_below_mean_matched,lam_pac,width_pac_matched
api99_n2,CP_PAC,0.6031178287932186,51.3543833010825,0.042292577735570505,0.483,0.7488856927024303,63.76625109672053
api99_n2,CP_k102,0.6778511377925984,50.72845028944466,0.039975048907379615,0.475,0.8441090362512684,63.17071831403374
api99_n2,FH_PAC,0.732535502792738,51.22240765026097,0.04030946052367546,0.467,0.904849452669233,63.27142827895501
api99_n2,FH_boot,0.8612522342552564,51.573279319886225,0.043234319113481474,0.452,1.0847632629797481,64.95750783855142
api99_n2,FH_normal,0.8607669707486161,51.28257708151325,0.04098116375010506,0.464,1.0637643621839292,63.376709090985806
api99_n2,LDC_PAC,0.6545919213997358,51.687076980872426,0.04835244754584269,0.465,0.8431933508651583,66.57918958537397
api99_n2,LDC_k102,0.7685427306413716,51.28502994140999,0.050621533782963184,0.445,0.9948186529364209,66.38447332595335
api99_n2,noisy_CP,0.7225447393938119,50.73724340225968,0.0397292423589061,0.481,0.8867252982357092,62.26603673742254
api99_n3,CP_PAC,0.6723362956744918,49.868271013273656,0.04207756577976099,0.479,0.8412439847587359,62.396427636186154
api99_n3,CP_k102,0.7570282233977494,49.6772776806919,0.04067458381726214,0.467,0.9250008668362178,60.699883434280046
api99_n3,FH_PAC,0.8361396056481205,49.79118829950066,0.040194537145320265,0.459,1.026500973258646,61.126997099394984
api99_n3,FH_boot,0.9878137281951117,50.10731548524471,0.04385504880994261,0.461,1.2427389009882877,63.03851465132389
api99_n3,FH_normal,0.9861288622457461,49.8667471984514,0.04144991130741162,0.443,1.2124926473370852,61.313553065514014
api99_n3,LDC_PAC,0.7112552206084559,50.08861961697345,0.04616248538249801,0.47,0.9120418342503747,64.22858516448358
api99_n3,LDC_k102,0.823490312314976,50.00164109521397,0.04631940768559839,0.439,1.030424703635417,62.566523778501214
api99_n3,noisy_CP,0.8064902652063781,49.645059932187856,0.0393322956164276,0.464,0.9829301059212845,60.50615379111461
socio_n2,CP_PAC,0.668880977629755,114.26855152481673,0.047409059861128866,0.447,0.827879669423108,141.43115715003458
socio_n2,CP_k102,0.7544217019501744,112.80985177584712,0.04528368629979188,0.454,0.9234414139489961,138.08363248562148
socio_n2,FH_PAC,0.7979577642336065,113.02143753120579,0.044562880743238026,0.45,0.9792874223152663,138.70467484278794
socio_n2,FH_boot,0.9316518796205551,113.93593932384884,0.04713275505038354,0.448,1.1530746348058973,141.0147336155445
socio_n2,FH_normal,0.9265588667975359,113.12002109763084,0.04529570266892996,0.451,1.1438705765724941,139.65077491737387
socio_n2,LDC_PAC,0.7047192839706884,114.83664819768664,0.05174680990748035,0.435,0.8904359518385878,145.09987518393677
socio_n2,LDC_k102,0.8140639738854499,113.39786582986916,0.051727526148572456,0.443,1.0307115888845486,143.57654707130916
socio_n2,noisy_CP,0.8053337402995107,112.67795396091844,0.04393150719316421,0.442,0.980756895975959,137.2222158859666
socio_n3,CP_PAC,0.7270853703159845,110.6174541568376,0.045614971485059226,0.45,0.8807407516806254,133.99430617170873
socio_n3,CP_k102,0.8173974663783562,110.59168460170783,0.0456726000415766,0.461,0.9826299305021435,132.94719377560406
socio_n3,FH_PAC,0.8616769413897488,109.76782890763337,0.04380745336722442,0.46,1.0445437258383994,133.06297462184284
socio_n3,FH_boot,1.0052105900676698,110.70972656541434,0.04709039890396173,0.461,1.2387653178301437,136.43247591180017
socio_n3,FH_normal,0.9976824063869365,109.77058530406033,0.04470107315314795,0.45,1.21789219808434,133.999295331983
socio_n3,LDC_PAC,0.7499355567127789,110.8158220167207,0.04817202733627758,0.449,0.9202894379328279,135.98852547391743
socio_n3,LDC_k102,0.8558251674299986,110.9307564219938,0.049183814604477544,0.456,1.052633310986359,136.44072862843885
socio_n3,noisy_CP,0.8712095523610843,110.58340678984824,0.04420320013861362,0.455,1.053324360538574,133.69940208692427
