rule,K,k,guarantee,x=0.061,x=0.101,x=0.136,x=0.201
noisy,110,98,0.7713809006369992,0.7713809006369992,0.7796958094401085,0.7885832479831728,0.808162872321902
noisy,110,99,0.8264914289357761,0.8264914289357761,0.8353084735209662,0.8447371554962,0.8654143127657213
noisy,110,100,0.867220940242258,0.867220940242258,0.8763507723446742,0.8861147668288103,0.9073843279879611
noisy,110,101,0.8959749962654784,0.8959749962654784,0.9052502128861245,0.9151647730029859,0.9365521283441156
noisy,110,102,0.9159419879195791,0.9159419879195791,0.9252259759384046,0.9351370338747291,0.9562165279901148
noisy,110,103,0.9301604033258315,0.9301604033258315,0.9393478045215709,0.9491328552709853,0.9695312551764681
noisy,110,104,0.9409112081543675,0.9409112081543675,0.9499253726866316,0.9594918316817336,0.9788955342257502
noisy,110,105,0.9495134182887971,0.9495134182887971,0.9583064454229742,0.9675938544375409,0.9857787216598346
noisy,110,106,0.9564489101816219,0.9564489101816219,0.9650061122640033,0.9739940460594029,0.9908799102423549
noisy,110,107,0.9616944449047357,0.9616944449047357,0.9700386236901497,0.978754105477767,0.9944541183497743
ldc_a0.10,110,98,0.8414067938203716,0.8697205805026538,0.8670519084512994,0.8638193186005726,0.8530088093280365
ldc_a0.10,110,99,0.8608693395146931,0.8839872988598381,0.8823767812450781,0.8805654582105904,0.8743584166264021
ldc_a0.10,110,100,0.8775237369385664,0.8962387383578704,0.895642480868977,0.895213201557155,0.8933996335766229
ldc_a0.10,110,101,0.8920529707627134,0.9073213797325478,0.9076757797789612,0.9085514850231389,0.9107916399313937
ldc_a0.10,110,102,0.9049336524362713,0.917728975717588,0.918961431421228,0.9210351634530274,0.9268971047865292
ldc_a0.10,110,103,0.9165091319141977,0.9277008678737361,0.9297347567221892,0.932874844156017,0.9418519361893082
ldc_a0.10,110,104,0.9270435824726749,0.9373185507851507,0.9400722490236548,0.9441258462468772,0.9556222805335733
ldc_a0.10,110,105,0.9367547283903237,0.9465899699315303,0.9499705993212376,0.954764912603474,0.9680355203397851
ldc_a0.10,110,106,0.9458401182722275,0.9555229296991767,0.9594160547585494,0.9647531042964803,0.9787991345160734
ldc_a0.10,110,107,0.9545075644106299,0.9641850149557483,0.9684391892729328,0.9740705848953728,0.9875418003487973
