p,q,xbar,sigma,R_mix,R_mean_plugin,R_min_plugin,mix_minus_mean
0.9,0.9,0.02,0.0,0.9941236939612119,0.9941236939612119,0.9941236939612119,0.0
0.9,0.9,0.02,0.35,0.9935847654607574,0.9941236939612119,0.9986950315187616,-0.0005389285004545608
0.9,0.9,0.02,0.7,0.9923434319123541,0.9941236939612119,1.0003347041403392,-0.0017802620488578391
0.9,0.9,0.02,1.0,0.9911264558164544,0.9941236939612119,1.0006311333272444,-0.002997238144757497
0.9,0.9,0.05,0.0,0.9724341594164709,0.9724341594164709,0.9724341594164709,0.0
0.9,0.9,0.05,0.35,0.9711807763527452,0.9724341594164709,0.9906787691246828,-0.0012533830637256882
0.9,0.9,0.05,0.7,0.968433719873391,0.9724341594164709,0.9980321484035465,-0.004000439543079937
0.9,0.9,0.05,1.0,0.9660678905056636,0.9724341594164709,1.0001259640607245,-0.006366268910807382
0.9,0.9,0.1,0.0,0.9191728577656897,0.9191728577656897,0.9191728577656897,0.0
0.9,0.9,0.1,0.35,0.916799975400427,0.9191728577656897,0.9709983691620945,-0.002372882365262674
0.9,0.9,0.1,0.7,0.912597517042147,0.9191728577656897,0.9918051425682425,-0.006575340723542711
0.9,0.9,0.1,1.0,0.9110696982318576,0.9191728577656897,0.9982247572554763,-0.008103159533832116
0.9,0.9,0.136,0.0,0.8689807453716927,0.8689807453716927,0.8689807453716927,0.0
0.9,0.9,0.136,0.35,0.8661620603295657,0.8689807453716927,0.9532139021702003,-0.0028186850421270115
0.9,0.9,0.136,0.7,0.862553451523651,0.8689807453716927,0.9861282334780299,-0.0064272938480416375
0.9,0.9,0.136,1.0,0.864064848858565,0.8689807453716927,0.9963699529152901,-0.004915896513127627
0.9,0.9,0.2,0.0,0.7541487617044264,0.7541487617044264,0.7541487617044264,0.0
0.9,0.9,0.2,0.35,0.7524446335829402,0.7541487617044264,0.9150038569145045,-0.001704128121486126
0.9,0.9,0.2,0.7,0.7540572539628368,0.7541487617044264,0.9741552116561503,-9.15077415895027e-05
0.9,0.9,0.2,1.0,0.76474570594276,0.7541487617044264,0.9923686963171249,0.010596944238333683
0.9036,0.9,0.02,0.0,0.9854744744276782,0.9854744744276782,0.9854744744276782,0.0
0.9036,0.9,0.02,0.35,0.98500299802751,0.9854744744276782,0.9919472807238119,-0.0004714764001682026
0.9036,0.9,0.02,0.7,0.983933462830714,0.9854744744276782,0.9954368400529403,-0.0015410115969641813
0.9036,0.9,0.02,1.0,0.9829569065072512,0.9854744744276782,0.997107650004992,-0.0025175679204270107
0.9036,0.9,0.05,0.0,0.9609209857262531,0.9609209857262531,0.9609209857262531,0.0
0.9036,0.9,0.05,0.35,0.959891126157046,0.9609209857262531,0.9812422980611336,-0.0010298595692070922
0.9036,0.9,0.05,0.7,0.9577563237849043,0.9609209857262531,0.990874873507529,-0.0031646619413487898
0.9036,0.9,0.05,1.0,0.9561667879274126,0.9609209857262531,0.9948245169585859,-0.004754197798840454
0.9036,0.9,0.1,0.0,0.9054340400052079,0.9054340400052079,0.9054340400052079,0.0
0.9036,0.9,0.1,0.35,0.9033472734934629,0.9054340400052079,0.9593838978520992,-0.0020867665117449974
0.9036,0.9,0.1,0.7,0.8999692827783676,0.9054340400052079,0.9825963203690977,-0.0054647572268402556
0.9036,0.9,0.1,1.0,0.8995038450098616,0.9054340400052079,0.9911779180978806,-0.005930194995346305
0.9036,0.9,0.136,0.0,0.8539941620790032,0.8539941620790032,0.8539941620790032,0.0
0.9036,0.9,0.136,0.35,0.8514030992940754,0.8539941620790032,0.9406358984557144,-0.0025910627849278223
0.9036,0.9,0.136,0.7,0.8485079407797778,0.8539941620790032,0.9759573795583057,-0.005486221299225491
0.9036,0.9,0.136,1.0,0.8510009921085934,0.8539941620790032,0.9884479601294807,-0.0029931699704098813
0.9036,0.9,0.2,0.0,0.7363955581968337,0.7363955581968337,0.7363955581968337,0.0
0.9036,0.9,0.2,0.35,0.7346981206688634,0.7363955581968337,0.9011498673656948,-0.001697437527970247
0.9036,0.9,0.2,0.7,0.7364933165063032,0.7363955581968337,0.962770383244656,9.775830946956443e-05
0.9036,0.9,0.2,1.0,0.7476569880667904,0.7363955581968337,0.9832833183894897,0.011261429869956707
