shape,regime,method,lam_mean,width_mean_matched,lam_pac,width_pac_matched,achieved_reliability
gamma2_skew,common,CP_PAC,0.5816730373197428,2.8533930261089164,0.6663612436012509,3.268830431134268,0.95
gamma2_skew,common,CP_k102,0.654643434674654,2.8247449897982024,0.7388679093218435,3.188168267534536,0.95
gamma2_skew,common,FH_PAC,0.6975599337270729,2.864286051817497,0.8592590682153111,3.528247029379655,0.95
gamma2_skew,common,FH_boot,0.8565327525035874,2.9298888461455563,1.0956658476707153,3.7478767003478937,0.95
gamma2_skew,common,FH_normal,0.852158696572054,2.8926458898230685,1.0770091086697928,3.655898817940727,0.95
gamma2_skew,common,LDC_PAC,0.6337522226618232,2.906169067368631,0.7560462122434374,3.4669671157832673,0.95
gamma2_skew,common,LDC_k102,0.7419916326046566,2.8904603557122597,0.8796338642600849,3.426651596137956,0.95
gamma2_skew,common,noisy_CP,0.69758529481464,2.8168983533973075,0.786708474413208,3.1767840042659183,0.95
gamma2_skew,hetero,CP_PAC,0.5723976098455776,2.8752193378872133,0.6659294700615837,3.3450406798634225,0.95
gamma2_skew,hetero,CP_k102,0.6526136393407641,2.8483758926833307,0.7488428216684236,3.2683745972639033,0.95
gamma2_skew,hetero,FH_PAC,0.7097616241769864,2.8647640689862586,0.8972439283679499,3.6214865379416867,0.95
gamma2_skew,hetero,FH_boot,0.8546169860101154,2.916359754209302,1.0998305557295578,3.7531451184394884,0.95
gamma2_skew,hetero,FH_normal,0.8515177821983075,2.884082920459181,1.090685580916034,3.6941420617079466,0.95
gamma2_skew,hetero,LDC_PAC,0.6215453385718184,2.932175642578155,0.7529371289656096,3.5520239199583137,0.95
gamma2_skew,hetero,LDC_k102,0.7397292516917429,2.9241418246396966,0.8956227927449198,3.540387326006922,0.95
gamma2_skew,hetero,noisy_CP,0.7001276263353112,2.8386415570469623,0.7967411792293984,3.230357632663958,0.95
laplace,common,CP_PAC,0.6558026698215419,3.3037308090485284,0.7823271253147736,3.9411218428862327,0.95
laplace,common,CP_k102,0.7457673809534542,3.29842421621239,0.8813794970626624,3.898217528725661,0.95
laplace,common,FH_PAC,0.8111577681209498,3.3206384874090933,0.9627935970899446,3.941390441632562,0.95
