shape,nu,seed,method,half,cov
normal,4,490008,FH_PAC,1.9082430015111604,0.943493681740215
normal,4,490008,CP_PAC,2.379898142657056,0.9826825759101783
normal,4,490008,LDC_PAC,2.2541115619975134,0.975810849513221
normal,4,490008,HetLDC,2.134926173124764,0.9672329589691671
normal,4,490009,FH_PAC,1.9719457494094668,0.9511438471125887
normal,4,490009,CP_PAC,2.3013949064343295,0.978630680430191
normal,4,490009,LDC_PAC,2.1541534094841808,0.9687718567907464
normal,4,490009,HetLDC,2.0440054507330054,0.9590469913259121
normal,4,490016,FH_PAC,1.8330988017143508,0.9332119241603886
normal,4,490016,CP_PAC,2.1876905471084327,0.9713078488995084
normal,4,490016,LDC_PAC,2.0349324514985594,0.9581423298196028
normal,4,490016,HetLDC,1.9321670309387486,0.9466611069652395
normal,4,490017,FH_PAC,2.1391212109121325,0.9675242609941009
normal,4,490017,CP_PAC,2.4647775106780236,0.986290164781523
normal,4,490017,LDC_PAC,2.3600395578937485,0.9817270135701621
normal,4,490017,HetLDC,2.2523955972004317,0.9757027162845247
normal,4,490028,FH_PAC,1.990140105745004,0.9530590724808488
normal,4,490028,CP_PAC,2.4091021947056164,0.9840081806862853
normal,4,490028,LDC_PAC,2.2685996587013886,0.9767073176060392
normal,4,490028,HetLDC,2.1489074271959434,0.9683582610511319
normal,4,490029,FH_PAC,2.20976728057009,0.9725949393213991
normal,4,490029,CP_PAC,2.4106317162707747,0.9840750800868794
normal,4,490029,LDC_PAC,2.2959405682741556,0.9783207202501143
normal,4,490029,HetLDC,2.180791337722478,0.9708011464325421
normal,4,490004,FH_PAC,2.3376098604022437,0.9805913406131858
normal,4,490004,CP_PAC,2.625136208337575,0.9913385689336041
normal,4,490004,LDC_PAC,2.513583992752195,0.9880488684290336
normal,4,490004,HetLDC,2.400290722192161,0.9836179447829072
normal,4,490005,FH_PAC,1.963571103353625,0.9503962073982594
normal,4,490005,CP_PAC,2.295388991989735,0.978289158357563
normal,4,490005,LDC_PAC,2.135110724314412,0.9672480331535904
normal,4,490005,HetLDC,2.0109024474396033,0.9556642381966436
normal,4,490002,FH_PAC,2.028575400347267,0.956126028537983
normal,4,490002,CP_PAC,2.134884843956301,0.9672295823789416
normal,4,490002,LDC_PAC,1.9858139694031358,0.952946015941845
normal,4,490002,HetLDC,1.8728659165297485,0.9389130972112232
normal,4,490003,FH_PAC,1.9745372438880906,0.9464861805749198
normal,4,490003,CP_PAC,2.489444365342197,0.9872057058810686
normal,4,490003,LDC_PAC,2.3836582222657112,0.9828584860250367
normal,4,490003,HetLDC,2.2834660678688485,0.9775970705858397
normal,4,490010,FH_PAC,2.115448716322959,0.9656072629962699
normal,4,490010,CP_PAC,2.470717623262,0.9865157753735319
normal,4,490010,LDC_PAC,2.3657272520632193,0.9820053042100267
normal,4,490010,HetLDC,2.256095769418392,0.9759353659681416
normal,4,490011,FH_PAC,2.2710786556866234,0.9768438783907719
normal,4,490011,CP_PAC,2.7437306853040044,0.9939254649090026
normal,4,490011,LDC_PAC,2.640548306254895,0.9917228008187227
normal,4,490011,HetLDC,2.5287172778802818,0.988551979721958
normal,4,490014,FH_PAC,1.9391084892189254,0.9474652457237628
normal,4,490014,CP_PAC,2.179342476638297,0.970693764044567
normal,4,490014,LDC_PAC,2.00044607726816,0.9545478829073515
normal,4,490014,HetLDC,1.8930613589691596,0.941650289907086
normal,4,490015,FH_PAC,1.813870610233648,0.9301267158251464
normal,4,490015,CP_PAC,2.055660155449954,0.960184714949754
normal,4,490015,LDC_PAC,1.8997133235534558,0.9425292491036115
normal,4,490015,HetLDC,1.7885842364237214,0.926318201581714
normal,4,490006,FH_PAC,1.9812090505052646,0.9510216303544421
normal,4,490006,CP_PAC,1.9992120509318745,0.9544145847716565
normal,4,490006,LDC_PAC,1.7524122703162546,0.9202970569445357
normal,4,490006,HetLDC,1.6278868705992429,0.8964511241346915
normal,4,490007,FH_PAC,1.956209322891463,0.9489914510503091
normal,4,490007,CP_PAC,2.411617590757218,0.9841180704873416
normal,4,490007,LDC_PAC,2.2709683529961775,0.9768511061899143
normal,4,490007,HetLDC,2.1470421585583526,0.968210074541717
normal,4,490024,FH_PAC,2.0400158064615015,0.9582325917908747
normal,4,490024,CP_PAC,2.3822093247041662,0.982790887875022
normal,4,490024,LDC_PAC,2.2563005893684314,0.975948187486009
normal,4,490024,HetLDC,2.157379888217975,0.9690239230416842
normal,4,490025,FH_PAC,2.031160478164665,0.9565325835014474
normal,4,490025,CP_PAC,2.3776365598820792,0.9825760100952874
normal,4,490025,LDC_PAC,2.2389691479748723,0.9748420763525556
normal,4,490025,HetLDC,2.1185318933862924,0.9658699531980559
normal,4,490020,FH_PAC,1.9016037594184587,0.9409717480210913
normal,4,490020,CP_PAC,2.4441292078751324,0.9854797747441735
normal,4,490020,LDC_PAC,2.3015838427249324,0.9786413478247806
normal,4,490020,HetLDC,2.175826674043642,0.9704317766486188
normal,4,490021,FH_PAC,2.2332415866907835,0.9715961277054409
normal,4,490021,CP_PAC,2.3593407602307526,0.9816925638404765
normal,4,490021,LDC_PAC,2.1945969842410595,0.9718074799237002
normal,4,490021,HetLDC,2.077497871942102,0.9622443685523194
normal,4,490012,FH_PAC,1.8866138445756828,0.9390929645413955
normal,4,490012,CP_PAC,2.4158336315702944,0.9843007673569821
normal,4,490012,LDC_PAC,2.261270431964519,0.9762574839740765
normal,4,490012,HetLDC,2.148385336224069,0.9683168432859306
normal,4,490013,FH_PAC,2.017110590330519,0.9551442105605802
normal,4,490013,CP_PAC,2.44337909222009,0.9854495558007821
normal,4,490013,LDC_PAC,2.3008774749657084,0.9786014423522222
normal,4,490013,HetLDC,2.1981959854345763,0.9720648573498067
normal,4,490022,FH_PAC,1.9103677007523547,0.9439125150183876
normal,4,490022,CP_PAC,2.1957240011916905,0.971888295814094
normal,4,490022,LDC_PAC,2.0154828862524266,0.9561459225555242
normal,4,490022,HetLDC,1.9155206648413101,0.9445738636679901
normal,4,490023,FH_PAC,2.2229347428116646,0.9713395268319847
normal,4,490023,CP_PAC,2.6577496893048034,0.9921335705126315
normal,4,490023,LDC_PAC,2.5448116004651933,0.9890663288390193
normal,4,490023,HetLDC,2.4371274968759273,0.9851955414891593
normal,4,490000,FH_PAC,1.7800068327585563,0.9222921474884187
normal,4,490000,CP_PAC,2.076957779740991,0.9621945438528081
normal,4,490000,LDC_PAC,1.7887042383909313,0.9263375399802485
normal,4,490000,HetLDC,1.6536253338892888,0.9017963380047644
normal,4,490001,FH_PAC,2.216014121113778,0.9710195084889746
normal,4,490001,CP_PAC,2.8308869488548103,0.9953580875146235
normal,4,490001,LDC_PAC,2.7376961965355644,0.9938128797545929
normal,4,490001,HetLDC,2.6400540162694917,0.9917107185865612
normal,4,490018,FH_PAC,1.9355613631671327,0.9469193679491077
normal,4,490018,CP_PAC,2.6337841342207113,0.9915560847286466
normal,4,490018,LDC_PAC,2.4945787226525087,0.987389324991174
normal,4,490018,HetLDC,2.382317928168719,0.9827959628518839
normal,4,490019,FH_PAC,2.1971426190432815,0.9681546035251394
normal,4,490019,CP_PAC,2.6153061664777106,0.9910852495193672
normal,4,490019,LDC_PAC,2.477077385101477,0.9867536821864455
normal,4,490019,HetLDC,2.3661477026207853,0.9820257281042373
normal,4,490026,FH_PAC,2.2122967367076565,0.9723564888129378
normal,4,490026,CP_PAC,2.6398470298798475,0.9917056544061194
normal,4,490026,LDC_PAC,2.5003211714403317,0.9875919240083375
normal,4,490026,HetLDC,2.389258016374135,0.9831175587241796
normal,4,490027,FH_PAC,2.017591864973678,0.9563415055481979
normal,4,490027,CP_PAC,2.3385959798018896,0.9806436469296853
normal,4,490027,LDC_PAC,2.1753007327900935,0.9703924123413907
normal,4,490027,HetLDC,2.0680386915119975,0.9613636150578537
normal,4,490030,FH_PAC,1.9855612631290642,0.9475602463111691
normal,4,490030,CP_PAC,2.3006216452118315,0.9785869735235411
normal,4,490030,LDC_PAC,2.111769763025668,0.9652937980294085
normal,4,490030,HetLDC,1.9932494215776233,0.9537658581988433
normal,4,490031,FH_PAC,1.8415699966054941,0.9119532532445078
normal,4,490031,CP_PAC,2.3029747420347233,0.978719735744191
