shape,regime,method,reps,mean_cov,sd_cov,pr_cov_ge_90,q05_cov,width
gamma2_skew,common,CP_PAC,2000,0.9712973567500001,0.009065557819483237,1.0,0.9556504,4.90549302277599
gamma2_skew,common,CP_k102,2000,0.9601692882499999,0.009499523220074853,1.0,0.943913675,4.314936712383054
gamma2_skew,common,FH_PAC,2000,0.9537208825,0.01569115147867763,0.996,0.924705125,4.1061504729974585
gamma2_skew,common,FH_boot,2000,0.929673922,0.026548638487381662,0.8755,0.8806284999999999,3.4206384257714473
gamma2_skew,common,FH_normal,2000,0.9294241285,0.024670592245284756,0.886,0.88551575,3.3944920135876147
gamma2_skew,common,LDC_PAC,2000,0.96476980125,0.012809839031243782,1.0,0.94121545,4.585655029598836
gamma2_skew,common,LDC_k102,2000,0.94832433125,0.01539122271639753,0.9935,0.921376725,3.895543060998825
gamma2_skew,common,noisy_CP,2000,0.95342377575,0.009863038397968794,1.0,0.936433375,4.038070146168726
gamma2_skew,hetero,CP_PAC,2000,0.9728454605,0.00975082531043178,1.0,0.9556693249999999,5.023115555396702
gamma2_skew,hetero,CP_k102,2000,0.960918216,0.010688268239526648,1.0,0.942307375,4.364566906019018
gamma2_skew,hetero,FH_PAC,2000,0.9515314282499999,0.01725202418266264,0.992,0.9181959,4.036234098044022
gamma2_skew,hetero,FH_boot,2000,0.92941784325,0.02643536625866794,0.868,0.880643375,3.4124757662782796
gamma2_skew,hetero,FH_normal,2000,0.9292937407499999,0.024680990686737108,0.8895,0.884146825,3.386990830671244
gamma2_skew,hetero,LDC_PAC,2000,0.966851668,0.01365583605398046,0.9995,0.941542925,4.717557128359588
gamma2_skew,hetero,LDC_k102,2000,0.94924401,0.01780371044165078,0.989,0.9186314750000001,3.952989310551469
gamma2_skew,hetero,noisy_CP,2000,0.9535228979999999,0.011188412894224177,1.0,0.934471425,4.0544630011321035
laplace,common,CP_PAC,2000,0.9694521105,0.011803389719248956,1.0,0.947434775,5.037690392366877
laplace,common,CP_k102,2000,0.95391356875,0.014902472910143714,0.999,0.9268145250000001,4.422859326450289
laplace,common,FH_PAC,2000,0.9413293985,0.018108269939575955,0.977,0.9085711249999999,4.093702381845353
laplace,common,FH_boot,2000,0.9037624117499999,0.03052644113486728,0.5985,0.8475803749999999,3.4121318952955755
laplace,common,FH_normal,2000,0.9032789567499999,0.029212536683160314,0.594,0.8499173750000001,3.3843892877723274
laplace,common,LDC_PAC,2000,0.9613572195,0.017332161761519634,0.9945,0.9272326750000001,4.736536259426585
laplace,common,LDC_k102,2000,0.9373579475,0.025106310359198938,0.9195,0.88875985,4.023626865074864
laplace,common,noisy_CP,2000,0.9436023359999999,0.016451954900220014,0.99,0.913802725,4.123395346334371
laplace,hetero,CP_PAC,2000,0.97068760475,0.012463655702978705,1.0,0.947460925,5.121843351075647
laplace,hetero,CP_k102,2000,0.9547415567499999,0.015522816583879127,0.9975,0.926704975,4.461368587479138
laplace,hetero,FH_PAC,2000,0.9373214822499999,0.020848031667318398,0.94,0.8971283000000001,4.013068734567741
laplace,hetero,FH_boot,2000,0.90182469825,0.03205567570002018,0.565,0.8423990000000001,3.3900656417654362
laplace,hetero,FH_normal,2000,0.901636338,0.030409728646564486,0.576,0.8445878250000001,3.3656431883588187
laplace,hetero,LDC_PAC,2000,0.9630178370000001,0.018143100683507406,0.994,0.9287113,4.82849105672399
laplace,hetero,LDC_k102,2000,0.9385617687500001,0.026057005473428246,0.9175,0.891558825,4.066442712092515
laplace,hetero,noisy_CP,2000,0.9439250315,0.017034578012216355,0.9855,0.9138153999999999,4.139509309374582
