x,alpha,r_grid,r_table,diff
0.001,0.1,1.0003084185046829,1.0269744795167957,-0.026666061012112774
0.026,0.1,0.990296390898438,0.9905662952452496,-0.00026990434681162245
0.051,0.1,0.9711087975316017,0.971562905119236,-0.00045410758763431147
0.076,0.1,0.9463904227268196,0.9471462335278202,-0.0007558108010006226
0.101,0.1,0.9161434282708596,0.9179126726121125,-0.001769244341252918
0.126,0.1,0.8828163973260488,0.8839269456523169,-0.0011105483262681126
0.151,0.1,0.841897965211474,0.8450848106257949,-0.0031868454143209046
0.176,0.1,0.8000678312751,0.8012226516219997,-0.001154820346899732
0.201,0.1,0.750165158376517,0.7520764437028291,-0.0019112853263121288
0.226,0.1,0.6942852572443834,0.6971688932784181,-0.0028836360340347422
0.251,0.1,0.6334651575655799,0.6356402113929372,-0.002175053827357387
0.276,0.1,0.5641350437158023,0.5659465250714891,-0.0018114813556868725
0.301,0.1,0.4834048962963531,0.48517839844766,-0.0017735021513068938
0.326,0.1,0.3865474456541645,0.38706979620282883,-0.0005223505486643409
0.351,0.1,0.2516603031158269,0.2528815432583562,-0.001221240142529334
0.001,0.07,1.0000976349939137,1.0219083206083757,-0.021810685614461978
0.026,0.07,0.9850368526927387,0.9854688336326013,-0.00043198093986263064
0.051,0.07,0.960419008168755,0.9607677519846209,-0.0003487438158659151
0.076,0.07,0.9282743779070988,0.9294105145735392,-0.0011361366664404127
0.101,0.07,0.8909381168191397,0.891630066495438,-0.0006919496762982646
0.126,0.07,0.8468070056178607,0.8470215959163675,-0.00021459029850678935
0.151,0.07,0.7917343146848774,0.7949375939902789,-0.0032032793054014297
0.176,0.07,0.732518775800705,0.7345263444219794,-0.0020075686212743804
0.201,0.07,0.6630385316201786,0.6644515139738467,-0.0014129823536681574
0.226,0.07,0.5802582061370262,0.5822823464814002,-0.002024140344374037
0.251,0.07,0.48291182571436564,0.4830332313798516,-0.00012140566548596299
0.276,0.07,0.3526869647532238,0.35396465618592865,-0.0012776914327048416
0.301,0.07,0.12489434169663313,0.12579826708554068,-0.0009039253889075449
0.326,0.07,0.0,0.0,0.0
0.351,0.07,0.0,0.0,0.0
