condition,seed,method,half,cov
api99_n3,70016,FH_PAC,32.75216475001341,0.9714285714285714
api99_n3,70016,CP_PAC,36.28832102746204,0.9714285714285714
api99_n3,70016,LDC_PAC,34.74628957110175,0.9714285714285714
api99_n3,70016,HetLDC,33.07579257992899,0.9714285714285714
api99_n3,70017,FH_PAC,30.048682186877244,0.9523809523809523
api99_n3,70017,CP_PAC,31.680590255618387,0.9523809523809523
api99_n3,70017,LDC_PAC,28.87679073195479,0.9333333333333333
api99_n3,70017,HetLDC,26.89571115805031,0.9333333333333333
api99_n3,70002,FH_PAC,30.9913171985106,0.9619047619047619
api99_n3,70002,CP_PAC,36.42959161883882,0.9904761904761905
api99_n3,70002,LDC_PAC,34.69637303733098,0.9904761904761905
api99_n3,70002,HetLDC,32.93964833271244,0.9714285714285714
api99_n3,70003,FH_PAC,27.671252951190123,0.8857142857142857
api99_n3,70003,CP_PAC,34.69900172310323,0.9714285714285714
api99_n3,70003,LDC_PAC,32.67530270791603,0.9619047619047619
api99_n3,70003,HetLDC,30.74861869590075,0.9142857142857143
api99_n3,70010,FH_PAC,25.628020168573517,0.9047619047619048
api99_n3,70010,CP_PAC,29.82605785566712,0.9428571428571428
api99_n3,70010,LDC_PAC,26.786679907316852,0.9142857142857143
api99_n3,70010,HetLDC,24.8320640970668,0.8666666666666667
api99_n3,70011,FH_PAC,33.44267907600229,0.9714285714285714
api99_n3,70011,CP_PAC,36.034132334105685,1.0
api99_n3,70011,LDC_PAC,34.12959271869167,0.9809523809523809
api99_n3,70011,HetLDC,32.29840858574771,0.9714285714285714
api99_n3,70006,FH_PAC,27.02913452714398,0.9142857142857143
api99_n3,70006,CP_PAC,33.39129825981873,0.9809523809523809
api99_n3,70006,LDC_PAC,31.443866516869623,0.9523809523809523
api99_n3,70006,HetLDC,29.560000768242844,0.9523809523809523
api99_n3,70007,FH_PAC,30.6644737805752,0.9619047619047619
api99_n3,70007,CP_PAC,35.39736334461221,0.9904761904761905
api99_n3,70007,LDC_PAC,33.89319213458849,0.9904761904761905
api99_n3,70007,HetLDC,32.33463576275256,0.9714285714285714
api99_n3,70018,FH_PAC,30.803155845897933,0.9619047619047619
api99_n3,70018,CP_PAC,36.089640021269965,0.9904761904761905
api99_n3,70018,LDC_PAC,34.182166615521155,0.9809523809523809
api99_n3,70018,HetLDC,32.43101144681252,0.9809523809523809
api99_n3,70019,FH_PAC,27.34491849463253,0.8952380952380953
api99_n3,70019,CP_PAC,29.827219269724083,0.9142857142857143
api99_n3,70019,LDC_PAC,27.18744701466546,0.8857142857142857
api99_n3,70019,HetLDC,25.33574308208624,0.8761904761904762
api99_n3,70020,FH_PAC,26.823857689639233,0.8857142857142857
api99_n3,70020,CP_PAC,28.97956125447187,0.9523809523809523
api99_n3,70020,LDC_PAC,25.615815066009553,0.8666666666666667
api99_n3,70020,HetLDC,24.114821265241922,0.8476190476190476
api99_n3,70021,FH_PAC,29.802379364560064,0.9619047619047619
api99_n3,70021,CP_PAC,36.71790613651982,0.9809523809523809
api99_n3,70021,LDC_PAC,34.77722650023322,0.9809523809523809
api99_n3,70021,HetLDC,33.129817303242596,0.9714285714285714
api99_n3,70012,FH_PAC,26.209053057456217,0.9142857142857143
api99_n3,70012,CP_PAC,34.41127234388595,0.9714285714285714
api99_n3,70012,LDC_PAC,31.365801655746385,0.9714285714285714
api99_n3,70012,HetLDC,29.309638412778792,0.9619047619047619
api99_n3,70013,FH_PAC,29.567381244189992,0.9619047619047619
api99_n3,70013,CP_PAC,39.74579002480482,1.0
api99_n3,70013,LDC_PAC,38.05683730556057,0.9904761904761905
api99_n3,70013,HetLDC,36.25076587554911,0.9904761904761905
api99_n3,70008,FH_PAC,29.941144855468163,0.9523809523809523
api99_n3,70008,CP_PAC,38.96225610091873,1.0
api99_n3,70008,LDC_PAC,37.49701816807547,0.9904761904761905
api99_n3,70008,HetLDC,35.7927610440054,0.9809523809523809
api99_n3,70009,FH_PAC,29.12290068910526,0.9523809523809523
api99_n3,70009,CP_PAC,35.07858261054249,0.9714285714285714
api99_n3,70009,LDC_PAC,32.41744535444954,0.9714285714285714
api99_n3,70009,HetLDC,30.56410357930404,0.9619047619047619
api99_n3,70024,FH_PAC,31.600740866096814,0.9523809523809523
api99_n3,70024,CP_PAC,32.62802568072501,0.9523809523809523
api99_n3,70024,LDC_PAC,30.90351163094807,0.9523809523809523
api99_n3,70024,HetLDC,29.33992112139389,0.9523809523809523
api99_n3,70025,FH_PAC,28.18322392861038,0.9523809523809523
