shape,regime,method,reps,mean_cov,sd_cov,pr_cov_ge_90,q05_cov,width
gamma2_skew,common,CP_PAC,2000,0.9712875959716605,0.00908037961299338,1.0,0.9556199502101931,4.90549302277599
gamma2_skew,common,CP_k102,2000,0.9601423825101774,0.00950617645627905,1.0,0.9439148397684556,4.314936712383054
gamma2_skew,common,FH_PAC,2000,0.9536901446460792,0.01569955865371407,0.9955,0.9247805470151809,4.1061504729974585
gamma2_skew,common,FH_boot,2000,0.9296252662583022,0.026556561074478284,0.8755,0.8805739632261003,3.4206384257714473
gamma2_skew,common,FH_normal,2000,0.9293772275961348,0.02468226544311199,0.885,0.8855556086984738,3.3944920135876147
gamma2_skew,common,LDC_PAC,2000,0.9647516170853988,0.012822635540114018,1.0,0.9411212208379022,4.585655029598836
gamma2_skew,common,LDC_k102,2000,0.9482894204618539,0.015395869216036803,0.9935,0.9212400640994076,3.895543060998825
gamma2_skew,common,noisy_CP,2000,0.953391217436183,0.009870722525053381,1.0,0.9361473767684507,4.038070146168726
gamma2_skew,hetero,CP_PAC,2000,0.972853299516006,0.009742430873794764,1.0,0.9556859959507603,5.023115555396702
gamma2_skew,hetero,CP_k102,2000,0.9609240809829418,0.01069455709647117,1.0,0.9422956266091917,4.364566906019018
gamma2_skew,hetero,FH_PAC,2000,0.9515273061154993,0.017261207879599078,0.992,0.9182533655602895,4.036234098044022
gamma2_skew,hetero,FH_boot,2000,0.9294040543156737,0.026430489460101268,0.8685,0.8805252727002861,3.4124757662782796
gamma2_skew,hetero,FH_normal,2000,0.9292777217262987,0.024673695740174247,0.8895,0.8844006420062345,3.386990830671244
gamma2_skew,hetero,LDC_PAC,2000,0.9668566011282492,0.013656733361900136,0.9995,0.9416198513414197,4.717557128359588
gamma2_skew,hetero,LDC_k102,2000,0.9492350232951233,0.017812238326019594,0.989,0.9187151203390075,3.952989310551469
gamma2_skew,hetero,noisy_CP,2000,0.9535187355777229,0.011203357599320415,1.0,0.9345229130274681,4.0544630011321035
laplace,common,CP_PAC,2000,0.969362804733077,0.011843263128791248,1.0,0.9472972672872033,5.037690392366877
laplace,common,CP_k102,2000,0.9537813616041151,0.014931399813630392,0.999,0.9266469480243484,4.422859326450289
laplace,common,FH_PAC,2000,0.9411827831262876,0.01811874231186759,0.9765,0.908528311504198,4.093702381845353
laplace,common,FH_boot,2000,0.903615484489331,0.030513803132283107,0.5975,0.8471908286939004,3.4121318952955755
laplace,common,FH_normal,2000,0.9031342741603475,0.029198462735047198,0.593,0.8498072079031198,3.3843892877723274
laplace,common,LDC_PAC,2000,0.9612492460482684,0.017370996445285128,0.9945,0.9272277156696328,4.736536259426585
laplace,common,LDC_k102,2000,0.9372118246563153,0.025114275945501592,0.918,0.8884786093627297,4.023626865074864
laplace,common,noisy_CP,2000,0.9434542966497481,0.0164638412428275,0.99,0.9136704657596112,4.123395346334371
laplace,hetero,CP_PAC,2000,0.970642193446939,0.012461335733129138,1.0,0.9474360176762843,5.121843351075647
laplace,hetero,CP_k102,2000,0.9546943635339222,0.015521854401338662,0.9975,0.9266018614755999,4.461368587479138
laplace,hetero,FH_PAC,2000,0.9372791988502235,0.02084236738425657,0.939,0.8971212386020629,4.013068734567741
laplace,hetero,FH_boot,2000,0.901795158966676,0.03203995160887351,0.567,0.8425981949314519,3.3900656417654362
laplace,hetero,FH_normal,2000,0.9016079655167263,0.030395188051317527,0.5755,0.8446884858721332,3.3656431883588187
laplace,hetero,LDC_PAC,2000,0.9629726964938979,0.018140282013689793,0.994,0.928477640322753,4.82849105672399
laplace,hetero,LDC_k102,2000,0.9385173093240317,0.02604903523450775,0.9175,0.8914092628080204,4.066442712092515
laplace,hetero,noisy_CP,2000,0.9438782760278153,0.017032660272661714,0.985,0.9137212675479087,4.139509309374582
normal,common,CP_PAC,2000,0.9835536035380715,0.010021325049479977,1.0,0.9646184924695722,4.913465901968013
normal,common,CP_k102,2000,0.9702678550674343,0.014143773751259785,0.9995,0.9433486537715963,4.42462420064709
normal,common,FH_PAC,2000,0.95515140007334,0.019301098675417242,0.9895,0.919699850565125,4.107651463635053
normal,common,FH_boot,2000,0.9043293882566056,0.03694050066167414,0.5925,0.8375966863327431,3.429680996757805
normal,common,FH_normal,2000,0.9035025239208971,0.03487655495643495,0.594,0.8377936288394284,3.3992553785442894
normal,common,LDC_PAC,2000,0.9741513516018029,0.017625049148414514,0.994,0.9412952625515274,4.599609337624734
normal,common,LDC_k102,2000,0.9505007702798107,0.02710003431841472,0.9475,0.8987850132324019,4.03061386730004
normal,common,noisy_CP,2000,0.9601985135415385,0.016599929455834685,0.996,0.9297153103821278,4.172993316670598
normal,hetero,CP_PAC,2000,0.9837393514009378,0.010067849666565964,1.0,0.9635927927773988,4.930789862755353
normal,hetero,CP_k102,2000,0.9700690767408919,0.014428701736277489,0.999,0.9429102788835401,4.420486822452563
normal,hetero,FH_PAC,2000,0.9520443186901811,0.019519341120003593,0.9845,0.9162313560639022,4.038678905750818
normal,hetero,FH_boot,2000,0.9032718717115049,0.03538287851774147,0.576,0.8391684722164245,3.4124101615678257
normal,hetero,FH_normal,2000,0.9037801288491153,0.03188795931637764,0.596,0.8469122441822055,3.3901456296747003
normal,hetero,LDC_PAC,2000,0.9745300944184896,0.01731307303331781,0.997,0.9398536741033741,4.618402619226903
normal,hetero,LDC_k102,2000,0.9501535379444985,0.02748698121243634,0.9465,0.89857071049759,4.0246765453349695
normal,hetero,noisy_CP,2000,0.959707404108851,0.01710278908082535,0.9955,0.9283178480019046,4.164742384410141
shifted_normal,common,CP_PAC,2000,0.98227264588151,0.010302563585039642,1.0,0.9621499859176359,5.055649096835394
shifted_normal,common,CP_k102,2000,0.9680532589004556,0.01482041988625685,0.9995,0.9400260115942741,4.550312071662917
shifted_normal,common,FH_PAC,2000,0.955583530217904,0.019673744190239942,0.986,0.9190046989577817,4.116102505926784
shifted_normal,common,FH_boot,2000,0.9049285034604888,0.038470578654340316,0.6145,0.8341941634271377,3.4376509665485484
shifted_normal,common,FH_normal,2000,0.904352599112329,0.03548482681045536,0.6095,0.8393556749774563,3.4079262730767628
shifted_normal,common,LDC_PAC,2000,0.973467993336293,0.01697396816036405,0.9965,0.9399378555228303,4.7618759666545705
shifted_normal,common,LDC_k102,2000,0.9495743222746305,0.026541572603997296,0.943,0.8979325367144674,4.1806935168703
shifted_normal,common,noisy_CP,2000,0.9574984484393182,0.017692137060124048,0.994,0.9239168832903946,4.2961303907794886
shifted_normal,hetero,CP_PAC,2000,0.9824055114363465,0.010686048596802606,1.0,0.9620240143845189,5.074979340197602
shifted_normal,hetero,CP_k102,2000,0.9681903403133683,0.014914173461922866,0.9995,0.9393976289027671,4.558201668410073
shifted_normal,hetero,FH_PAC,2000,0.9519325610151339,0.020140765538661974,0.979,0.9135724760343213,4.042362917255076
shifted_normal,hetero,FH_boot,2000,0.903358042990982,0.036215002331574875,0.5795,0.8369129396916211,3.4142555459593624
shifted_normal,hetero,FH_normal,2000,0.9037053393502593,0.032785723027379456,0.607,0.8441173248857271,3.392936332269098
shifted_normal,hetero,LDC_PAC,2000,0.9737133468634018,0.017315221210303856,0.996,0.9400147844821698,4.782279330340135
shifted_normal,hetero,LDC_k102,2000,0.9498988730011947,0.02620044986405908,0.948,0.8991054369413788,4.1890921376876085
shifted_normal,hetero,noisy_CP,2000,0.9573029731464328,0.01847498631156374,0.992,0.9227421451133606,4.298106207879553
t3_not_LC,common,CP_PAC,2000,0.9712421611059608,0.009142389817048622,1.0,0.9543754442636693,4.695465258848839
t3_not_LC,common,CP_k102,2000,0.9597830465135202,0.010963497160018999,1.0,0.9399941259080381,4.0908293651665275
t3_not_LC,common,FH_PAC,2000,0.9543701770540262,0.016570282651936812,0.998,0.9250026916030311,4.017309086892248
t3_not_LC,common,FH_boot,2000,0.9255930768350402,0.03037098485956348,0.82,0.8702153535357919,3.3287656204113016
